Restaurant Restaurant ID,Restaurant Restaurant Name,Address,Post Code,Full Address,Latitude,Longitude,Weekly orders
245412,McDonald's - San Blas,"Av. de Guadalajara, 2,Centro Comercial Las Rosas",28032,"Av. de Guadalajara, 2,Centro Comercial Las Rosas 28032 ",40.4187285,-3.6209721,44
250369,McDonald's - Hortaleza,"Av. de los Andes, 46",28042,"Av. de los Andes, 46 28042 ",40.455486,-3.6186405,66
251016,McDonald's - Acacias,"Paseo de las Acacias, 22A,",28005,"Paseo de las Acacias, 22A, 28005 ",40.4040086,-3.7070359,46
62607,Pure Cuisine Tres Aguas,"Av. de América, 7-9",28922,"Av. de América, 7-9 28922 ",40.3584463,-3.8313617,37
135480,Café de París - Félix Boix vacaciones,Calle Félix Boix 8,28036,Calle Félix Boix 8 28036 ,40.4632104,-3.6879923,37
141417,Beykebap - Las Rosas,"Avenida Guadalajara, 2 (Centro Comercial Las Rosas)",28032,"Avenida Guadalajara, 2 (Centro Comercial Las Rosas) 28032 ",40.4187285,-3.6209721,44
168136,Sumo - Juan Bravo,Calle Juan Bravo 66,28006,Calle Juan Bravo 66 28006 ,40.4321568,-3.6731312,29
171011,Starbucks - La Gavia,"Calle Adolfo Bioy Casares, 2",28051,"Calle Adolfo Bioy Casares, 2 28051 ",40.3689253,-3.5991676,37
246993,McDonald's - Atocha,"C/ Atocha, 127 | Hotel Nacional,",28012,"C/ Atocha, 127 | Hotel Nacional, 28012 ",40.4106154,-3.6952627,43
35185,Pizza Napoli,Calle Antonio Arias 4,28009,Calle Antonio Arias 4 28009 ,40.4175952,-3.6716035,45
63184,Llaollao - Calle Alcalá,"Calle de Alcala, 347",28027,"Calle de Alcala, 347 28027 ",40.4339846,-3.6465949,27
67230,Ramen Shifu - Calle Ayala,"Calle Ayala, 65",28001,"Calle Ayala, 65 28001 ",40.4275296,-3.6768097,46
99294,Waiwai Poke,Calle de Bretón de los Herreros 19,28003,Calle de Bretón de los Herreros 19 28003 ,40.4396808,-3.699084,35
102524,Manolo Bakes - Santa Bárbara,"Plaza de Sta. Barbara, 4",28004,"Plaza de Sta. Barbara, 4 28004 ",40.4275849,-3.6964193,54
224820,KFC MADRID C FCO SILVELA 65 - Activo,"Calle de Francisco Silvela, 65,",28028,"Calle de Francisco Silvela, 65, 28028 ",40.4351171,-3.6753574,45
232018,KFC MADRID CC LA VAGUADA - Activo,"Avd Monforte de Lemos, 36",28029,"Avd Monforte de Lemos, 36 28029 ",40.4798322,-3.707023,36
10807,Tuk-Tuk - Chueca,"Calle del Barquillo, 26",28004,"Calle del Barquillo, 26 28004 ",40.4224033,-3.6955637,27
