name,priceRange,rating,reviewCount,postCode,Latitude,Longitude_x,Weekly orders,value
Preto Bambu,,5.0,4,28029.0,40.4663222,-3.6926687999999994,1,20.0
Kathmandu Garden Nepali Restaurante,$$ - $$$,4.5,123,28003.0,40.4451725,-3.7033616,2,553.5
Pans & Company,$,3.5,18,28013.0,40.420236200000005,-3.70246,17,63.0
Fuera de Carta,$$ - $$$,4.0,9,28002.0,40.4482059,-3.6757394,1,36.0
Salitre,,4.5,11,28006.0,40.4369143,-3.6872169,95,49.5
Tao 3.6.9,$,3.5,33,28036.0,40.456129100000005,-3.6872995000000004,37,115.5
The Towers Irish Pub,$$ - $$$,3.5,67,28005.0,40.4033619,-3.7108123999999996,9,234.5
Empy's,$,5.0,4,28012.0,40.415420399999995,-3.7021621,2,20.0
Roppongui,$$ - $$$,3.5,26,28035.0,40.4793099,-3.7245729,4,91.0
El Quinto Gallego,,3.5,23,28034.0,40.487421999999995,-3.6995711000000004,3,80.5
City Garden,$$ - $$$,3.5,30,,40.4026213,-3.7138748999999995,22,105.0
La Taberna de Chana - Valdebernardo,$$ - $$$,3.5,52,28032.0,40.4019296,-3.6203006,2,182.0
Babels,$$ - $$$,5.0,4,28015.0,40.435155,-3.713882,1,20.0
Caramba,$$ - $$$,3.0,240,28014.0,40.417862,-3.7000427000000005,2,720.0
La Caleta Luna,$$ - $$$,3.5,40,28004.0,40.4221028,-3.7056687999999993,7,140.0
Mindelle,,5.0,4,28015.0,40.43323,-3.7162808,1,20.0
Estar en Babia,$$ - $$$,5.0,4,28006.0,40.4311583,-3.6775835,15,20.0
Pasticho,,5.0,4,28028.0,40.4362656,-3.6765487,5,20.0
Frank & Furt,$,3.5,102,28009.0,40.424133700000006,-3.6730592000000004,1,357.0
Wrapipans Bar,,4.0,23,28012.0,40.4093402,-3.693189,7,92.0
Mamamery Corner Cafe,$,5.0,5,28004.0,40.4268079,-3.6986831,2,25.0
El Son,,4.0,18,28004.0,40.4249891,-3.6955473,1,72.0
Nacionsushi,$$ - $$$,4.0,21,28001.0,40.4272672,-3.6845496,4,84.0
TomaTE,$,3.5,24,28037.0,40.438122899999996,-3.6257975,1,84.0
Restaurante Brasa y Lena La Vaguada,,4.0,21,,40.4800101,-3.7074566,22,84.0
Benito Aperitivos,$$ - $$$,4.5,11,28012.0,40.4115963,-3.6986769999999995,6,49.5
La Croissanterie,$,4.5,9,28015.0,40.4357065,-3.7146551,2,40.5
Frutal Principe Pio,$,5.0,5,28008.0,40.422140899999995,-3.7206155,10,25.0
La Zalamera,$$ - $$$,3.5,33,28003.0,40.4471966,-3.7101550000000003,13,115.5
Take & Taste Mundo Selecto,$,5.0,6,28004.0,40.4275849,-3.6964193,54,30.0
Pipo&Cia,$,5.0,5,28012.0,40.4112964,-3.6985842000000004,1,25.0
"La Tagliatella Las Tablas, Madrid",$$ - $$$,3.5,52,28050.0,40.504207799999996,-3.6709991,12,182.0
Campanoli de Ponzano,,3.5,17,28003.0,40.4460282,-3.6982227,2,59.5
Nuda Pizza,$,4.0,9,28015.0,40.4342402,-3.7174937999999993,9,36.0
Harbor,,4.5,18,28006.0,40.4371326,-3.6874227,2,81.0
Vert&Frais,$$ - $$$,5.0,4,28029.0,40.4668385,-3.6891526,4,20.0
Mussum Madrid,$$ - $$$,4.0,30,28006.0,40.437542,-3.6865379000000003,21,120.0
Kahuna,$,5.0,4,28005.0,40.4093988,-3.7209567999999997,1,20.0
The Names,$,4.0,12,28045.0,40.39654470000001,-3.6828852999999997,16,48.0
UDON La Gavia,$$ - $$$,3.5,73,28051.0,40.368925299999994,-3.5991676,210,255.5
Carl's Jr,$$ - $$$,4.0,13,28054.0,40.36524,-3.73872,25,52.0
Almonte,$$ - $$$,3.5,16,28006.0,40.4328005,-3.6787049,17,56.0
Panaria Capitan Haya,$,4.0,14,28020.0,40.454734,-3.6926126000000004,3,56.0
Buenasana,$,3.5,75,28004.0,40.4251058,-3.7020182,4,262.5
Espiedo,$$ - $$$,4.0,24,28050.0,40.50736,-3.65467,26,96.0
Don G,,5.0,4,28054.0,40.363375899999994,-3.7389514999999998,42,20.0
"La Tagliatella CC Las Rosas, Madrid",$$ - $$$,4.0,17,28032.0,40.4187285,-3.6209721,44,68.0
D' La Brasa,,4.0,7,28045.0,40.4068079,-3.6927927000000005,3,28.0
RIKO fancybites,,5.0,5,28004.0,40.4249891,-3.6955473,1,25.0
"Si, quiero! Taberna",$,4.0,10,28015.0,40.434635899999996,-3.7041334000000004,1,40.0
La Famosa,$$ - $$$,4.0,11,28020.0,40.4536997,-3.6993519,2,44.0
The Bistro,,4.5,6,28008.0,40.4293753,-3.7150377999999997,21,27.0
Tandoori Curry Hut,$,4.5,7,28003.0,40.4451725,-3.7033616,2,31.5
El Fogon de Abad,$$ - $$$,4.0,17,28020.0,40.46375870000001,-3.6935858999999995,94,68.0
Bengala,$$ - $$$,3.5,22,28023.0,40.4650446,-3.7864239,6,77.0
La Cocina Del Greco,,5.0,6,28004.0,40.4226984,-3.6986084999999997,62,30.0
Ricos Tacos Canillejas,$$ - $$$,4.5,4,28022.0,40.4473465,-3.6107699,15,18.0
BLACK ANGUS,$$ - $$$,4.5,6,28660.0,40.4063956,-3.8964328,5,27.0
Juanita Cruz,$$ - $$$,3.0,301,28036.0,40.4588601,-3.6820532999999998,2,903.0
Manolo Bakes Narvaez,$,3.5,16,28009.0,40.4205828,-3.6758754000000002,4,56.0
New Garden cerveceria,$$ - $$$,5.0,4,28050.0,40.5062541,-3.6565017,2,20.0
Taqueria de Los Batos,$$ - $$$,3.5,31,28010.0,40.4362844,-3.6909696000000003,1,108.5
Tao 369,$,3.5,27,28033.0,40.4789639,-3.6710542,21,94.5
OleMole,$,4.0,10,28010.0,40.427553499999995,-3.6950795,85,40.0
Lolo's Burger Grill,$,5.0,4,28028.0,40.4255037,-3.6664262,4,20.0
Entrepanes,$,3.5,25,28015.0,40.435215,-3.7165453999999998,26,87.5
Kobe,$$ - $$$,3.5,126,28050.0,40.5100612,-3.6672474999999998,6,441.0
La Botica de Fleming 31,$$ - $$$,3.5,23,28036.0,40.4610953,-3.6881004,1,80.5
Trasmontana,$$ - $$$,3.5,72,28045.0,40.39209,-3.6919800000000005,7,252.0
Tremolina,$$ - $$$,4.0,22,28020.0,40.4598505,-3.6949655,37,88.0
Landania,$$ - $$$,3.5,86,28007.0,40.4083223,-3.6747117,4,301.0
El Horno - Velazquez,,4.0,7,28006.0,40.4369956,-3.6829321000000004,41,28.0
Eguchi,,5.0,3,28050.0,40.5047992,-3.6714432,3,15.0
Hanabusa Pasteleria Japonesa,,5.0,3,28012.0,40.4115963,-3.6986769999999995,6,15.0
Kichi Restaurant,$$ - $$$,3.5,23,28043.0,40.456861700000005,-3.653571,1,80.5
Poke No,$$ - $$$,5.0,3,28009.0,40.4200041,-3.6777691,2,15.0
Bocados Cafe,$,3.5,29,28006.0,40.430058700000004,-3.6756292999999998,12,101.5
Werfresh Healthy Food,$,5.0,3,28003.0,40.4469595,-3.7019808,2,15.0
Taberna Flamenca El Cortijo,,4.5,4,28038.0,40.393246999999995,-3.6576502,9,18.0
Lubora,$$ - $$$,5.0,5,28020.0,40.452108200000005,-3.6967543,14,25.0
Pipa&co,$$ - $$$,3.5,17,28023.0,40.4650446,-3.7864239,6,59.5
Toro Loco Grill,$$ - $$$,4.0,6,28002.0,40.424445899999995,-3.6773771,3,24.0
Goiko Glorieta Monte del Gozo 25,$$ - $$$,3.0,177,28050.0,40.5092053,-3.6682657,57,531.0
La Gustosa Valdebebas,$$ - $$$,4.0,10,28055.0,40.4929175,-3.6172052000000003,16,40.0
Kebab Antalia,$,4.5,8,28008.0,40.4257536,-3.7151245999999998,29,36.0
Paellamar Planet,$$ - $$$,5.0,3,28002.0,40.4444217,-3.6740793,2,15.0
TaGliatella,,3.5,33,,40.4167754,-3.7037902000000003,10,115.5
Misska,$$ - $$$,3.5,37,28010.0,40.433871999999994,-3.7025230000000002,34,129.5
Ristorante Pizzeria Dante,$$ - $$$,4.0,15,28045.0,40.3989174,-3.698396,4,60.0
Arroceria La Estrella,$$ - $$$,4.5,10,28007.0,40.4115693,-3.6680676,1,45.0
La Ventana Verde,,4.5,5,28033.0,40.4822463,-3.6715193,1,22.5
Boanerges,$$ - $$$,4.5,15,28018.0,40.3812931,-3.6466992999999994,5,67.5
Caracola,$$ - $$$,4.5,5,28012.0,40.4115963,-3.6986769999999995,6,22.5
La Mesa Puesta,,3.5,19,28034.0,40.4815403,-3.7122845,5,66.5
Don Ulpiano,,4.0,18,28013.0,40.4183174,-3.7071476000000003,16,72.0
Starbucks,$,4.0,6,28015.0,40.433409399999995,-3.7038212999999995,32,24.0
Nano El Mexicano,$$ - $$$,3.5,57,28020.0,40.4521054,-3.7012141000000005,10,199.5
La Casona Selecta,$$ - $$$,5.0,3,28022.0,40.4480357,-3.6103671999999998,10,15.0
Asador Ansorena,$$$$,4.0,9,28020.0,40.464073,-3.6923017,21,36.0
Las Mancheguillas,$,3.5,23,28012.0,40.4147321,-3.7047065999999997,2,80.5
Bar Athenas,,4.0,7,28002.0,40.4456037,-3.6756845,1,28.0
