name,priceRange,rating,reviewCount,address,postCode,locality,url
El Cruce,,4.5,6,Calle Nuestra Senora de Valverde 2,,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d3340101-Reviews-El_Cruce-Madrid.html
Sal Gorda,$$ - $$$,4.0,198,Calle Beatriz de Bobadilla 9 Acceso por el número 3 de la calle,28040,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2445359-Reviews-Sal_Gorda-Madrid.html
Can Punyetes,$$ - $$$,3.0,168,Calle San Agustin 9,28014,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2486940-Reviews-Can_Punyetes-Madrid.html
Mamma Mia Pizzeria Lavapies,,5.0,2,Calle Lavapies 44,28012,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d19847432-Reviews-Mamma_Mia_Pizzeria_Lavapies-Madrid.html
El Gordo de Velazquez,$$ - $$$,3.5,547,Calle Velazquez 80 Calle Velazquez 80 esquina Ortega y Gasset,28001,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7818396-Reviews-El_Gordo_de_Velazquez-Madrid.html
Delikatia,,4.5,3,"Calle de Arturo Soria 126 128, 28043 Madrid, Espana 19 Centro comercial Arturo Soria Plaza, planta baja",28043,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17805077-Reviews-Delikatia-Madrid.html
El Retablo de Kelly,$$ - $$$,3.5,14,Calle Gallur 503 28047 Planta Baja,28047,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d4872305-Reviews-El_Retablo_de_Kelly-Madrid.html
Bull Grill,$$ - $$$,5.0,2,Calle Blasco de Garay 10 Local Drcha,28015,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d19847420-Reviews-Bull_Grill-Madrid.html
Lola & Co,$$ - $$$,4.0,348,Calle Gravina 18,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8105998-Reviews-Lola_Co-Madrid.html
Rocket by Ollywood,$,4.5,9,Calle de Villanueva 31,28001,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17392023-Reviews-Rocket_by_Ollywood-Madrid.html
Deja Vu Lounge Bar,$,5.0,2,Calle Calatrava 6,28005,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d19096442-Reviews-Deja_Vu_Lounge_Bar-Madrid.html
